industry_code,hscode,description,hsName,parentHsName
01121,070190,"Potatoes, fresh or chilled nes",기타,감자(신선한 것이나 냉장한 것으로 한정한다)
01121,070200,"Tomatoes, fresh or chilled",토마토(신선한 것이나 냉장한 것으로 한정한다),토마토(신선한 것이나 냉장한 것으로 한정한다)
01121,070310,"onions and shallots, fresh or chilled","양파와 샬롯(shallot)
","양파ㆍ샬롯(shallot)ㆍ마늘ㆍ리크(leek)와 그 밖의 파속의 채소(신선한 것이나 냉장한 것으로 한정한다)
"
01121,070320,"Garlic, fresh or chilled",마늘,"양파ㆍ샬롯(shallot)ㆍ마늘ㆍ리크(leek)와 그 밖의 파속의 채소(신선한 것이나 냉장한 것으로 한정한다)
"
01121,070390,"Leeks and other alliaceous vegetables, fresh or chilled",리크(leek)와 그 밖의 파속의 채소,"양파ㆍ샬롯(shallot)ㆍ마늘ㆍ리크(leek)와 그 밖의 파속의 채소(신선한 것이나 냉장한 것으로 한정한다)
"
01121,070410,"Cauliflowers and headed broccoli, fresh or chilled",꽃양배추와 결구(結球) 브로콜리(broccoli),"양배추ㆍ꽃양배추ㆍ콜라비(kohlrabi)ㆍ케일(kale)과 그 밖에 이와 유사한 식용 배추속(신선한 것이나 냉장한 것으로 한정한다)
"
01121,070420,"Brussels sprouts, fresh or chilled",방울다다기 양배추,"양배추ㆍ꽃양배추ㆍ콜라비(kohlrabi)ㆍ케일(kale)과 그 밖에 이와 유사한 식용 배추속(신선한 것이나 냉장한 것으로 한정한다)
"
01121,070490,"Cabbages, kohlrabi, kale and sim edible brassicas nes, fresh or chill",기타,"양배추ㆍ꽃양배추ㆍ콜라비(kohlrabi)ㆍ케일(kale)과 그 밖에 이와 유사한 식용 배추속(신선한 것이나 냉장한 것으로 한정한다)
"
01121,070511,Cabbage lettuce (head lettuce) fresh or chilled,결구(結球) 상추,상추[락투카 사티바(Lactuca sativa)]와 치커리(chicory)[시커리엄(Cichorium)속](신선한 것이나 냉장한 것으로 한정한다)
01121,070519,"Lettuce, fresh or chilled nes",기타,상추[락투카 사티바(Lactuca sativa)]와 치커리(chicory)[시커리엄(Cichorium)속](신선한 것이나 냉장한 것으로 한정한다)
01121,070521,"Witloof chicory, fresh or chilled",위트루프 치커리(Witloof chicory)[시코리엄 인티부스 변종 포리오섬(Cichorium intybus var. foliosum)],상추[락투카 사티바(Lactuca sativa)]와 치커리(chicory)[시커리엄(Cichorium)속](신선한 것이나 냉장한 것으로 한정한다)
01121,070529,"Chicory, fresh or chilled, nes",기타,상추[락투카 사티바(Lactuca sativa)]와 치커리(chicory)[시커리엄(Cichorium)속](신선한 것이나 냉장한 것으로 한정한다)
01121,070610,"Carrots and turnips, fresh or chilled",당근과 순무,"당근ㆍ순무ㆍ샐러드용 비트(beetroot)ㆍ선모(仙茅)ㆍ셀러리액(celeriac)ㆍ무와 그 밖에 이와 유사한 식용 뿌리(신선한 것이나 냉장한 것으로 한정한다)
"
01121,070690,"Salad beetroot, salsif, celeriac, radish & sim edibl roots, fresh/chi",기타,"당근ㆍ순무ㆍ샐러드용 비트(beetroot)ㆍ선모(仙茅)ㆍ셀러리액(celeriac)ㆍ무와 그 밖에 이와 유사한 식용 뿌리(신선한 것이나 냉장한 것으로 한정한다)
"
01121,070700,"Cucumbers and gherkins, fresh or chilled",오이류(신선한 것이나 냉장한 것으로 한정한다),오이류(신선한 것이나 냉장한 것으로 한정한다)
01121,070910,"Globe artichokes, fresh or chilled",,그 밖의 채소(신선한 것이나 냉장한 것으로 한정한다)
01121,070920,"Asparagus, fresh or chilled",아스파라거스(asparagus),그 밖의 채소(신선한 것이나 냉장한 것으로 한정한다)
