nation_name,industry_code,hscode,rnum,trgtpsnNo,trgtpsnCd,trgtpsnDtlCd,trgtpsnNm,rprsnt1Nm,biztyp1Cd,biztyp1CdNm,trgtpsn1EmpCnt,trgtpsnTelno,trgtpsn1Addr,fundDd,prod1Nm,hmpgAddr,insuUseYn,impYn,koreaCuYn,extrnlCstYn,packAbrdEntprYn,korNm,compscale,nation_name,industry_code,hscode,usdSaleAmt,trgtpsnFaxNo,evalDd,evalGrd,evalValidDd
미국,13225,630533,1,6002949783,450,135919,A. Rifkin Co.,Arnold Rifkin,13225,직물포대 제조업,100,1-5708259551,/1400 Sans Souci Pkwy/Hanover Township/Pennsylvania/Luzerne/United States/18706-6097,18920630,Mfg textile bags,www.arifkin.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,2,6003156695,450,168164,"Block and Company, Inc.",Jason Smith,13225,직물포대 제조업,159,1-8475377200,/1111 Wheeling Rd/Wheeling/Illinois/Cook/United States/60090-5795,19340630,Mfg textile bags,www.blockandcompany.com,N,Y,Y,N,N,미국,D,미국,13225,630533,100000000.0,,,,
미국,13225,630533,6,6003053153,450,152824,"Isolator Fitness, Inc.",David L Vollmer Junior,13225,직물포대 제조업,1,1-6103707915,/1801 N 12TH St/Reading/Pennsylvania/Berks/United States/19604-1527,20100630,Mfg textile bags,www.isolatorfitness.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,5,6003558315,450,232908,"Ivarson Usa, LLC",Ian Charles Ivarson,13225,직물포대 제조업,3,1-4152580721,/3053 Fillmore St Ste 341/San Francisco/California/San Francisco/United States/94123-4009,20020630,Mfg textile bags,www.ivarpack.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,7,6003024513,450,148203,"Lbu, Inc.",Jeffrey Mayer,13225,직물포대 제조업,30,1-9737734800,/7 4TH Ave # 33/Paterson/New Jersey/Passaic/United States/07524-1202,19830630,Mfg textile bags,www.lbuinc.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,8,6003050491,450,152424,Omg Handbags LLC,Ann Narter,13225,직물포대 제조업,7,1-8473379499,/2045 W Grand Ave Ste 202/Chicago/Illinois/Cook/United States/60612-1577,20090630,Mfg textile bags,www.omgaccessories.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,4,6003624324,450,244464,Re-Pac Bags LLC,Sherrie Smith,13225,직물포대 제조업,6,1-7605805874,/412 Foussat Rd/Oceanside/California/San Diego/United States/92054-4709,20120630,Mfg textile bags,,N,Y,N,N,N,미국,D,미국,13225,630533,206040.0,,,,
미국,13225,630533,9,6003024091,450,148139,"Starr Aircraft Products, Inc.",Shelby Barnett,13225,직물포대 제조업,250,1-9038931106,/5236 N Hwy 1417/Sherman/Texas/Grayson/United States/75092,19840630,Mfg textile bags,www.starraircraft.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,10,6003287041,450,187430,"Unwrapped, Inc.",Stephen Katz,13225,직물포대 제조업,85,1-9784410242,/95 Rock St FL 1/Lowell/Massachusetts/Middlesex/United States/01854-4300,19940630,Mfg textile bags,www.unwrappedinc.com,N,Y,N,N,N,미국,D,미국,13225,630533,20120148.0,,,,
미국,13225,630533,3,6003567357,450,234434,"Western Textile & Manufacturing Co, Inc",Bruce A Spiegelman,13225,직물포대 제조업,7,1-4153317000,/1750 Bridgeway Ste B207/Sausalito/California/Marin/United States/94965-1900,19190630,Mfg textile bags,www.bagmakers.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
