nation_name,industry_code,hscode,rnum,trgtpsnNo,trgtpsnCd,trgtpsnDtlCd,trgtpsnNm,rprsnt1Nm,rprsnt2Nm,biztyp1Cd,biztyp1CdNm,trgtpsn1EmpCnt,trgtpsnTelno,trgtpsn1Addr,trgtpsn2Addr,fundDd,prod1Nm,hmpgAddr,usdAlAstAmt,evalDd,evalGrd,evalValidDd,grdResnCdNm,insuUseYn,usdSaleAmt,extrnlCstYn,packAbrdEntprYn,grdResnCd,korNm,compscale,nation_name,industry_code,hscode,impYn,koreaCuYn
일본,01121,070910,2,6000914426,140,102288,BIGYARD CO LTD,YUTAKA OBA, ,01121,채소작물 재배업,15,0538660711,"14-1, MATSUMOTO, IWATA, SHIZUOKA 438-0206 JAPAN", ,20101101,Vegetable farmer,http://www.bigyard.co.jp/,512173.13,20161010,G,20171009,자본잠식,N,300832.01,N,N,00024,일본,C,일본,01121,070910,,
일본,01121,070910,4,6003104683,140,112886,"CREO, K.K.",CHIKAKO HAYASHI,,01121,채소작물 재배업,5,,"/130-151, BEKKAI, BEKKAICHO/NOTSUKE-GUN/HOKKAIDO//Japan/086-0216",,20210630,Vegetable/melon farm,,,,,,,N,452086.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,7,6003169604,140,117980,"I AGRI, K.K.",HIDEYUKI ABE,,01121,채소작물 재배업,3,,"/941-4, NAGAMORIIWADO/GIFU/GIFU//Japan/500-8229",,20150630,Vegetable/melon farm,,,,,,,N,121114.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,3,6003139562,140,115500,"ICHIMIYA, K.K.",MIKIHISA OTA,,01121,채소작물 재배업,3,81-538897557,"/2028-1, ICHIMIYA, MORIMACHI/SHUCHI-GUN/SHIZUOKA//Japan/437-0226",,20180630,Vegetable/melon farm,www.morinocha.jp,,,,,,N,151890.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,8,6003191267,140,119720,"ISOYA, K.K.",KIYOTAKA MATSUO,,01121,채소작물 재배업,45,81-952666000,"/1463-3, USHIZUCHOKATSU/OGI/SAGA//Japan/849-0306",,19870630,Vegetable/melon farm,,,,,,,N,6610100.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,9,6003158201,140,116998,"JAPAN FARM, K.K.",NARUHITO WADA,,01121,채소작물 재배업,4,,"/1661, IMOTOCHO/HIGASHIOMI/SHIGA//Japan/527-0162",,20080630,Vegetable/melon farm,,,,,,,N,175500.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,5,6001912379,140,108493,KAJITSUDO CO LTD,TAKAFUMI TAKASE,,01121,채소작물 재배업,88,0962898883,"1155-5, TABARU, MASHIKIMACHI, KAMIMASHIKI-GUN, KUMAMOTO 861-2202 JAPAN",,20050406,Operates vegetable and melon farm,https://www.kajitsudo.com/,18432712.97,20210204,E,20220203,,N,13691989.63,N,N,,일본,B,일본,01121,070910,,
일본,01121,070910,10,6003177081,140,118600,"NISHINARI, K.K.",TAKASHI SASAKI,,01121,채소작물 재배업,3,81-167443442,"/NAKAFURANOFUKUHARANOJO, NAKAFURANOCHO/SORACHI-GUN/HOKKAIDO//Japan/071-0742",,20180630,Vegetable/melon farm,,,,,,,N,313013.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,6,6003168499,140,117863,"TAIDO, K.K.",SHIGERU SUGAWARA,,01121,채소작물 재배업,3,,"/10-1-16, MINAMI29JONISHI, CHUO-KU/SAPPORO/HOKKAIDO//Japan/064-0929",,20140630,Vegetable/melon farm,,,,,,,N,272920.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,1,6003200210,140,120474,"TKT, K.K.",MEGUMI TAKADA,,01121,채소작물 재배업,5,,"/183-5, SHITORI/TOTTORI/TOTTORI//Japan/680-1151",,20210630,Vegetable/melon farm,,,,,,,N,303419.0,N,N,,일본,D,일본,01121,070910,N,Y
